"Band","NH01","NH02","NH03","NH04","NH05","NH06","NH07","NH08","NH09","NH10","NH11","NH12","NH13","NH14","AE01","AE02","AE03","AE04","AE05","AE06","AE07","AE08","AE09","AE10","AE11","AE12","AE12b"
"542",0.218201924921965,0.200380532002596,0.220004128952823,0.204921822900838,0.312657280804901,0.435849230551492,0.48958636809564,0.367327200313993,0.527554777906116,0.414263060096007,0.472751943682323,0.186861198405218,0.243887364622989,0.218542828758649,1.65578426270266,0.791482666164631,0.877602041887594,0.680265794929909,0.465373270047146,0.536412688745464,0.381170131794518,0.28781007500221,0.2460911927084,0.246645092889979,0.251003386915109,0.304844214391995,0.299886930217382
"544",0.201747150307498,0.184753914661285,0.203677822637081,0.189307401129725,0.289655298375553,0.404870027529548,0.455748443573864,0.339643568917564,0.491717088244072,0.384641561403756,0.439610031586727,0.172596651645881,0.225572768021678,0.201957160845658,1.59188029533063,0.743358109511586,0.826711859109557,0.636773094275291,0.433314733856652,0.501319009984928,0.353144939051432,0.267154815150926,0.2276405447026,0.22844819341391,0.232375655681061,0.282258391212865,0.278369838010403
"546",0.185480846327235,0.169298310671132,0.187034324411386,0.173794778690279,0.266737341663857,0.373837694902214,0.42099316530274,0.311700851144692,0.455263172953674,0.354834256993457,0.405911178369695,0.158243874326491,0.207552168087713,0.185318050521187,1.51922963491078,0.693669056522502,0.775484806601971,0.591726102121572,0.401136691453906,0.465184780527703,0.325224062985465,0.246276671936889,0.209841022962238,0.209954719371071,0.213747446150866,0.259865793180042,0.25699474181292
"548",0.169496649150707,0.154507662074472,0.170547508899815,0.158659114618162,0.244344604607835,0.343629814266891,0.386465551194771,0.284518895259679,0.419021093267333,0.325681534851181,0.37262914702371,0.144154019711528,0.189914319213579,0.16906801523509,1.44044736055929,0.644093283462745,0.724604093027873,0.547143097076916,0.369724880069219,0.429126443796515,0.298099904827074,0.225507407066818,0.192772537551556,0.191628962316045,0.195578797116763,0.238214742642719,0.236186827113454
"550",0.154397860380367,0.140848688959029,0.154889775517803,0.144314115544455,0.222890075735159,0.314972944163119,0.353586984860653,0.259364812509489,0.384128741631271,0.297950859903285,0.340878631349409,0.130799724704732,0.17316381573464,0.153721302149358,1.36065426241852,0.596515424477788,0.675176761246891,0.50524971859526,0.339856699883147,0.394355980159185,0.27244603384898,0.205736723452144,0.176697897429531,0.174268063524511,0.178378490317945,0.21779197961376,0.216507780176926
"552",0.140990946864778,0.128621874836584,0.140615008032839,0.131321034730704,0.203157108932133,0.288881975346533,0.323933868492529,0.237183687119149,0.35234770406372,0.272606217526963,0.312076128975501,0.118876646428623,0.157895692620978,0.139956608474961,1.28685574645957,0.552416607704361,0.628776212888835,0.467184586909218,0.311824758182021,0.362019376521249,0.249331628813261,0.187846785238655,0.161942448048081,0.158738374061721,0.1624863345403,0.199216634332445,0.198602373517972
"554",0.12928822435433,0.117732057402157,0.128112226235417,0.119947221936676,0.185544785542179,0.265766868434497,0.29827132099186,0.217721510336845,0.324659099829302,0.250284790853533,0.286826214597594,0.108452451325291,0.144532925586935,0.127932001950936,1.22121023412902,0.512664468453293,0.586644628641117,0.433422337360724,0.285910163709469,0.332903800750246,0.228924934637734,0.172172285596608,0.148788398952078,0.145184174631217,0.148417209692368,0.182581659094315,0.182568997373475
"556",0.118917569301668,0.107922530363941,0.117520279177721,0.109872543280401,0.169902892987008,0.245103486259889,0.27565136332173,0.200059893032158,0.30022679066077,0.230654315193039,0.264457895433432,0.0991113043993243,0.132797745494859,0.11727693410506,1.16007546183777,0.4766388903779,0.548105822248195,0.402563635091627,0.26213872888994,0.306510853695298,0.210402097177538,0.158364927210942,0.137100112061402,0.132985566591904,0.13609816636047,0.167544876094993,0.167722927013572
"558",0.109353084250111,0.0990629063466814,0.108350179004534,0.100802467740289,0.155942020933314,0.226346879802237,0.255106382517229,0.183760035851175,0.278050123651417,0.213048621820789,0.244245731589538,0.0907211216856946,0.122164944666474,0.10766923947645,1.10071235442585,0.443208354322931,0.512239039825327,0.37367484963177,0.240502648687866,0.282488403044007,0.19346022176304,0.145919209482027,0.126469043426491,0.12178492613304,0.124912699915986,0.15395128127836,0.153948051437896
"560",0.0998592477501791,0.0908263566303925,0.0996938458091173,0.0923178562592295,0.142887268576384,0.208537494352865,0.235288929964929,0.168334703541946,0.25646900502516,0.19624078111067,0.225067921233155,0.0829260859698304,0.111968037792522,0.0987178505157884,1.0383151979195,0.410248385782675,0.477439020425972,0.345322542470832,0.220130084598562,0.259706130870906,0.177302686437489,0.134000141839784,0.116175594571751,0.111080979628458,0.114275631729484,0.141263473869627,0.141073264105561
"562",0.0903193376883851,0.0826641249491531,0.0908131028488756,0.0839252500733318,0.129982141378921,0.190690131176751,0.214751418704711,0.153133973581244,0.234159876586426,0.179198979916691,0.205837382660835,0.0753672533049545,0.101674397582734,0.0897777148125376,0.968543422635377,0.37616397808576,0.441921756972834,0.315678881803486,0.199741701256243,0.236850855176243,0.1608531698248,0.12179455793702,0.105420665105561,0.100484381410532,0.103749298277158,0.128687532452935,0.12877616124269
"564",0.0803622513840418,0.0740513290170407,0.0813059905479411,0.0751954382056387,0.116381914723867,0.172116305071271,0.193035424248261,0.137613047973954,0.210259578554443,0.161095590702166,0.185705863456381,0.0676519147814157,0.0910036625984447,0.0802381211059304,0.888588898653045,0.339658740466642,0.403257655894003,0.283942118675326,0.17880344828434,0.212799436142299,0.143681149884096,0.10887271362625,0.0939465528480834,0.0898140977088819,0.0932357093578855,0.115515597897466,0.116416805160916
"566",0.069851025018111,0.0649064999770973,0.0712151851550237,0.066022437936243,0.102002558552832,0.152637107188706,0.170349120158785,0.121292708747561,0.18456644858289,0.141763583361785,0.164045763143207,0.0595553427007376,0.0800842754628924,0.0700510522092507,0.797438463524907,0.300476186595108,0.36041688712195,0.250580656613905,0.156748953363258,0.187289731367357,0.12583646357584,0.0954408928972473,0.0820473646488061,0.079037048781153,0.0827819282601837,0.101716883146996,0.103322418044181
"568",0.0590991185693328,0.0551852236583008,0.0604997609245231,0.0563269145178393,0.0870407789213078,0.131862342194534,0.146275080276341,0.103845526047343,0.157489806733113,0.121217593160107,0.140536213396516,0.0510380111040747,0.0687270334811363,0.0593729818332993,0.694366057473287,0.258722429006202,0.312960297587508,0.215949390967083,0.133715171916803,0.160588723016075,0.107259460879033,0.0815347024025624,0.0697233413648239,0.068099628685817,0.0716878419219253,0.0871982611333,0.0892033690308134
